Date,Temperature,Anomaly
189501,29.6,-4.2
189601,28.4,-5.4
189701,29.2,-4.6
189801,33.8,0
189901,29.8,-4
190001,30.7,-3.1
190101,31,-2.8
190201,28.9,-4.9
190301,28.9,-4.9
190401,23.7,-10.1
190501,27,-6.8
190601,36,2.2
190701,32.5,-1.3
190801,30.6,-3.2
190901,32.2,-1.6
191001,29.9,-3.9
191101,34.6,0.8
191201,22.8,-11
191301,39.9,6.1
191401,30.6,-3.2
191501,33.5,-0.3
191601,35,1.2
191701,31.9,-1.9
191801,20.8,-13
191901,34.7,0.9
192001,22.5,-11.3
192101,32.5,-1.3
192201,27.3,-6.5
192301,29,-4.8
192401,31.7,-2.1
192501,27.5,-6.3
192601,31,-2.8
192701,30,-3.8
192801,33,-0.8
192901,31,-2.8
193001,32.4,-1.4
193101,31.8,-2
193201,42.3,8.5
193301,39.4,5.6
193401,33.7,-0.1
193501,27.9,-5.9
193601,28.4,-5.4
193701,39.3,5.5
193801,31.2,-2.6
193901,31.3,-2.5
194001,24,-9.8
194101,28.5,-5.3
194201,29.8,-4
194301,29.8,-4
194401,33,-0.8
194501,24.3,-9.5
194601,33.2,-0.6
194701,36.2,2.4
194801,24.4,-9.4
194901,37.5,3.7
195001,40.6,6.8
195101,35.3,1.5
195201,35.1,1.3
195301,36.6,2.8
195401,29.7,-4.1
195501,29.9,-3.9
195601,31,-2.8
195701,27.5,-6.3
195801,30.8,-3
195901,30.2,-3.6
196001,32.8,-1
196101,26.7,-7.1
196201,31.5,-2.3
196301,29,-4.8
196401,34.6,0.8
196501,28.6,-5.2
196601,31.2,-2.6
196701,36.3,2.5
196801,25.6,-8.2
196901,30.5,-3.3
197001,23.9,-9.9
197101,25.7,-8.1
197201,34.2,0.4
197301,34.6,0.8
197401,34.3,0.5
197501,36.4,2.6
197601,26.7,-7.1
197701,21.4,-12.4
197801,27.6,-6.2
197901,31.6,-2.2
198001,32.3,-1.5
198101,25.2,-8.6
198201,25.1,-8.7
198301,33.5,-0.3
198401,29.1,-4.7
198501,28,-5.8
198601,33.3,-0.5
198701,32,-1.8
198801,29.2,-4.6
198901,37.1,3.3
199001,41.1,7.3
199101,34.6,0.8
199201,35.5,1.7
199301,36.1,2.3
199401,25.3,-8.5
199501,37.3,3.5
199601,30.9,-2.9
199701,32.6,-1.2
199801,40.4,6.6
199901,34.3,0.5
200001,31.7,-2.1
200101,34,0.2
200201,40.4,6.6
200301,27.9,-5.9
200401,25.1,-8.7
200501,31.7,-2.1
200601,41.3,7.5
200701,37.9,4.1
200801,36.9,3.1
200901,28.3,-5.5
201001,32.9,-0.9
201101,30.1,-3.7
201201,37.7,3.9
201301,35.5,1.7
201401,28.7,-5.1
201501,30,-3.8
201601,34.5,0.7
201701,38.1,4.3
201801,31.8,-2
201901,32.6,-1.2
202001,39.2,5.4
202101,34.8,1
202201,30.4,-3.4
202301,43.5,9.7
